BatterTeam,Batter,BatterSide,PitchType,PitcherThrows,BatterScore,#ofPitches
GEO_BUL,"Anderson, Ben",Left,VS Left Fastball,,54.58,19
GEO_BUL,"Anderson, Ben",Left,VS Left Slider/Cutter,,52.07,5
GEO_BUL,"Anderson, Ben",Left,VS Right ChangeUp/Splitter,,31.89,3
GEO_BUL,"Anderson, Ben",Left,VS Right Fastball,,55.44,30
GEO_BUL,"Anderson, Ben",Left,VS Right Curveball,,48,3
GEO_BUL,"Anderson, Ben",Left,VS Right Slider/Cutter,,41.02,5
GEO_BUL,"Anderson, Ben",Left,VS Left ChangeUp/Splitter,,34.1,2
GEO_BUL,"Tate, Connor",Right,VS Left ChangeUp/Splitter,,54.3,14
GEO_BUL,"Tate, Connor",Right,VS Left Curveball,,36.45,1
GEO_BUL,"Tate, Connor",Right,VS Left Fastball,,40.63,12
GEO_BUL,"Tate, Connor",Right,VS Left Slider/Cutter,,60.55,4
GEO_BUL,"Tate, Connor",Right,VS Right ChangeUp/Splitter,,22.22,3
GEO_BUL,"Tate, Connor",Right,VS Right Fastball,,55.39,19
GEO_BUL,"Tate, Connor",Right,VS Right Slider/Cutter,,48.55,15
GEO_BUL,"Condon, Charlie",Right,VS Left Curveball,,58.89,2
GEO_BUL,"Condon, Charlie",Right,VS Left Fastball,,52.43,15
GEO_BUL,"Condon, Charlie",Right,VS Left Slider/Cutter,,72.69,5
GEO_BUL,"Condon, Charlie",Right,VS Left ChangeUp/Splitter,,46.21,8
GEO_BUL,"Condon, Charlie",Right,VS Right ChangeUp/Splitter,,45.68,4
GEO_BUL,"Condon, Charlie",Right,VS Right Fastball,,41.38,19
GEO_BUL,"Condon, Charlie",Right,VS Right Slider/Cutter,,51.92,10
AUB_TIG,"Howell, Kason",Right,VS Right Fastball,,54.91,122
AUB_TIG,"Howell, Kason",Right,VS Right ChangeUp/Splitter,,54.59,10
AUB_TIG,"Howell, Kason",Right,VS Right Slider/Cutter,,44.88,76
AUB_TIG,"Howell, Kason",Right,VS Left Fastball,,52.65,34
AUB_TIG,"Howell, Kason",Right,VS Left Slider/Cutter,,51.63,25
AUB_TIG,"Howell, Kason",Right,VS Left ChangeUp/Splitter,,56.59,14
AUB_TIG,"Howell, Kason",Right,VS Right Curveball,,45.11,8
AUB_TIG,"Howell, Kason",Right,VS Both Fastball,,21.63,2
AUB_TIG,"Howell, Kason",Right,VS Both Slider/Cutter,,48.75,2
AUB_TIG,"Howell, Kason",Right,VS Left Curveball,,23.19,1
AUB_TIG,"Foster, Cole",Left,VS Right Slider/Cutter,,50.45,35
AUB_TIG,"Foster, Cole",Left,VS Right Fastball,,52.07,148
AUB_TIG,"Foster, Cole",Left,VS Right ChangeUp/Splitter,,48.16,44
AUB_TIG,"Foster, Cole",Left,VS Left Fastball,,49,44
AUB_TIG,"Foster, Cole",Left,VS Left Slider/Cutter,,56.77,17
AUB_TIG,"Foster, Cole",Left,VS Left ChangeUp/Splitter,,48.01,23
AUB_TIG,"Foster, Cole",Left,VS Left Curveball,,59.84,3
AUB_TIG,"Foster, Cole",Left,VS Right Curveball,,43.81,9
AUB_TIG,"Foster, Cole",Left,VS Both Fastball,,47.05,15
