Pitch Type,Pitcher,Score,Handedness
Slider/Cutter,"Allsup, Chase",52.69,Right
Slider/Cutter,"Armstrong, John",55.78,Right
Slider/Cutter,"Bauman, Tanner",46.73,Left
Slider/Cutter,"Booton, Trevor",57.21,Right
Slider/Cutter,"Booton, Trevor",40.44,Right
Slider/Cutter,"Cannon, Will",50.32,Right
Slider/Cutter,"Carlson, Parker",51.09,Right
Slider/Cutter,"Chancellor, Abe",35.92,Left
Slider/Cutter,"Copeland, Konner",32.21,Left
Slider/Cutter,"Crotchfelt, Zach",49.46,Left
Slider/Cutter,"Gonzalez, Joseph",62.88,Right
Slider/Cutter,"Graves, Griffin",41.66,Left
Slider/Cutter,"Herberholz, Christian",49.2,Right
Slider/Cutter,"Horne, Trevor",47.24,Right
Slider/Cutter,"Horne, Trevor",49.53,Right
Slider/Cutter,"Keplinger, Konner",51.24,Left
Slider/Cutter,"Keshock, Cameron",43.96,Right
Slider/Cutter,"McBride, Connor",53.32,Right
Slider/Cutter,"McBride, Connor",48.39,Right
Slider/Cutter,"Murphy, Hayden",64.38,Right
Slider/Cutter,"Myers, Carson",59.23,Left
Slider/Cutter,"Nelson, Drew",50.66,Left
Slider/Cutter,"Petrovic, Alexander",47.47,Right
Slider/Cutter,"Schorr, Ben",66.88,
Slider/Cutter,"Sofield, Drew",59.88,Left
Slider/Cutter,"Sofield, Drew",53.59,Left
Slider/Cutter,"Tilly, Cameron",62.98,Right
Slider/Cutter,"Watts, Dylan",57.09,Right
Curveball,"Allsup, Chase",39.49,Right
Curveball,"Bray, Elliott",36.28,Right
Curveball,"Carlson, Parker",43.53,Right
Curveball,"Herberholz, Christian",43.88,Right
Curveball,"Keplinger, Konner",61.78,Left
Curveball,"McBride, Connor",39.06,Right
Curveball,"Nelson, Drew",35.03,Left
Curveball,"Schorr, Ben",61.54,
Curveball,"Tilly, Cameron",46.47,Right
Sinker,"Allsup, Chase",58.39,Right
Sinker,"Armstrong, John",48.23,Right
Sinker,"Bauman, Tanner",66.77,Left
Sinker,"Carlson, Parker",55.94,Right
Sinker,"Gonzalez, Joseph",60.28,Right
Sinker,"Herberholz, Christian",53.06,Right
Sinker,"Keplinger, Konner",42.59,Left
Sinker,"Keshock, Cameron",67.04,Right
Sinker,"Myers, Carson",43.46,Left
Sinker,"Petrovic, Alexander",57.51,Right
Sinker,"Schorr, Ben",19.14,
Sinker,"Watts, Dylan",64.92,Right
Fastball,"Allsup, Chase",72.44,Right
Fastball,"Armstrong, John",40.92,Right
Fastball,"Booton, Trevor",48.6,Right
Fastball,"Bray, Elliott",50.56,Right
Fastball,"Cannon, Will",76.54,Right
Fastball,"Carlson, Parker",48.4,Right
Fastball,"Chancellor, Abe",61.05,Left
Fastball,"Copeland, Konner",54.58,Left
Fastball,"Crotchfelt, Zach",56.36,Left
Fastball,"Gonzalez, Joseph",33.68,Right
Fastball,"Graves, Griffin",62.63,Left
Fastball,"Herberholz, Christian",63.09,Right
Fastball,"Horne, Trevor",71.65,Right
Fastball,"McBride, Connor",53.63,Right
Fastball,"Murphy, Hayden",76.18,Right
Fastball,"Myers, Carson",31.65,Left
Fastball,"Nelson, Drew",58.29,Left
Fastball,"Petrovic, Alexander",68.29,Right
Fastball,"Schorr, Ben",59.07,
Fastball,"Sofield, Drew",56.59,Left
Fastball,"Tilly, Cameron",65.48,Right
Fastball,"Watts, Dylan",58.07,Right
Changeup/Splitter,"Allsup, Chase",45.66,Right
Changeup/Splitter,"Armstrong, John",50.69,Right
Changeup/Splitter,"Bauman, Tanner",55.67,Left
Changeup/Splitter,"Booton, Trevor",55.24,Right
Changeup/Splitter,"Bray, Elliott",49.75,Right
Changeup/Splitter,"Cannon, Will",48.29,Right
Changeup/Splitter,"Carlson, Parker",45.39,Right
Changeup/Splitter,"Chancellor, Abe",52.96,Left
Changeup/Splitter,"Copeland, Konner",54.08,Left
Changeup/Splitter,"Crotchfelt, Zach",47.01,Left
Changeup/Splitter,"Gonzalez, Joseph",45.83,Right
Changeup/Splitter,"Graves, Griffin",44.69,Left
Changeup/Splitter,"Herberholz, Christian",49.76,Right
Changeup/Splitter,"Horne, Trevor",49.88,Right
Changeup/Splitter,"Keplinger, Konner",53.61,Left
Changeup/Splitter,"Keshock, Cameron",52.89,Right
Changeup/Splitter,"McBride, Connor",51.9,Right
Changeup/Splitter,"Murphy, Hayden",49.81,Right
Changeup/Splitter,"Myers, Carson",48.77,Left
Changeup/Splitter,"Nelson, Drew",50.56,Left
Changeup/Splitter,"Petrovic, Alexander",59.12,Right
Changeup/Splitter,"Schorr, Ben",51.52,
Changeup/Splitter,"Sofield, Drew",53.93,Left
Changeup/Splitter,"Tilly, Cameron",53.52,Right
Changeup/Splitter,"Watts, Dylan",49.06,Right
